tmk,tmk_txt,island,owner,ownedby,majorowner,type,gisacres
141029084,141029084,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.1701739
186023055,186023055,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17255341
187033029,187033029,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.15524498
189017026,189017026,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17877195
141032126,141032126,Oahu,HAWAII HOUSING FINANCE AND DEV. CORP.,"State of Hawaii, Hawaii Housing Finance & Development Corporation",Govt. State,Public-State,0.26101772
185032003,185032003,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.16339378
186023102,186023102,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.13091998
124043077,124043077,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.0866342
141028008,141028008,Oahu,HAWAII HOUSING FINANCE AND DEV. CORP.,"State of Hawaii, Hawaii Housing Finance & Development Corporation",Govt. State,Public-State,0.12170111
111044019,111044019,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.14398377
185025034,185025034,Oahu,HAWAII HOUSING FINANCE AND DEV. CORP.,"State of Hawaii, Hawaii Housing Finance & Development Corporation",Govt. State,Public-State,0.08534658
125021010,125021010,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17206114
126015078,126015078,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.00077047
185024031,185024031,Oahu,HAWAII HOUSING FINANCE AND DEV. CORP.,"State of Hawaii, Hawaii Housing Finance & Development Corporation",Govt. State,Public-State,0.0732564
191119093,191119093,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11472693
125022030,125022030,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17770994
148001001,148001001,Oahu,HAWAII HOUSING FINANCE AND DEV. CORP.,"State of Hawaii, Hawaii Housing Finance & Development Corporation",Govt. State,Public-State,2.96550339
122015019,122015019,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.13050579
141034006,141034006,Oahu,HAWAII HOUSING FINANCE AND DEV. CORP.,"State of Hawaii, Hawaii Housing Finance & Development Corporation",Govt. State,Public-State,0.16544431
187042155,187042155,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.04506406
111037007,111037007,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.41810778
185033079,185033079,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17248228
124042024,124042024,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.15977857
199044024,199044024,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.15515989
151009009,151009009,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.81108507
142043001,142043001,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,3.13547499
187042133,187042133,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.1239933
116008023,116008023,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.13104001
189016054,189016054,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.24867191
